City,State,Population,Land_Area,Location_Coordinates,Airports,Wiki_Page,City_Description
New York City,New York,"8,398,748",301.5 sq mi,40°39′49″N 73°56′19″W﻿ ,"John F. Kennedy International Airport, Newark Liberty International Airport, LaGuardia Airport",https://en.wikipedia.org/wiki/New_York_City,"b""The City of New York usually called either New York City (NYC) or simply New York (NY) is the most populous city in the United States.[11] With an estimated 2018 population of 8398748[7] distributed over a land area of about 302.6 square miles (784 km2)[12][13] New York is also the most densely populated major city in the United States.[14] Located at the southern tip of the state of New York the city is the center of the New York metropolitan area the largest metropolitan area in the world by urban landmass[15] and one of the world's most populous megacities[16][17] with an estimated 19979477 people in its 2018 Metropolitan Statistical Area and 22679948 residents in its Combined Statistical Area.[4][5] A global power city[18] New York City has been described as the cultural[19][20][21][22][23] financial[24][25] and media capital of the world[26][27] and exerts a significant impact upon commerce[25] entertainment research technology education politics tourism art fashion and sports. The city's fast pace[28][29][30] has inspired the term New York minute.[31] Home to the headquarters of the United Nations[32] New York is an important center for international diplomacy.[33][34]"""
Los Angeles,California,"3,990,456",468.7 sq mi,34°01′10″N 118°24′39″W﻿ ,,https://en.wikipedia.org/wiki/Los_Angeles,No data Available
Chicago,Illinois,"2,705,994",227.3 sq mi,41°50′15″N 87°40′54″W﻿ ,"Chicago O'Hare, Chicago Midway",https://en.wikipedia.org/wiki/Chicago,No data Available
Houston,Texas,"2,325,502",637.5 sq mi,29°47′12″N 95°23′27″W﻿ ,"George Bush Intercontinental Airport (IAH), William P. Hobby Airport (HOU)",https://en.wikipedia.org/wiki/Houston,b'Houston (/hjustn/ (listen) HEW-stn) is the most populous city in the U.S. state of Texas fourth most populous city in the United States as well as the sixth most populous in North America with an estimated 2018 population of 2328419.[6] Located in Southeast Texas near Galveston Bay and the Gulf of Mexico it is the seat of Harris County and the principal city of the Greater Houston metropolitan area which is the fifth most populous metropolitan statistical area in the United States and the second most populous in Texas after the Dallas-Fort Worth metroplex with a population of 6997384 in 2018.[7]'
Phoenix,Arizona,"1,660,272",517.6 sq mi,33°34′20″N 112°05′24″W﻿ ,Phoenix Sky Harbor International Airport,"https://en.wikipedia.org/wiki/Phoenix,_Arizona",No data Available
Philadelphia,Pennsylvania,"1,584,138",134.2 sq mi,40°00′34″N 75°08′00″W﻿ ,Philadelphia International Airport,https://en.wikipedia.org/wiki/Philadelphia,"b""Philadelphia (Ancient Greek:  ) known colloquially as Philly is the largest city in the U.S. state and Commonwealth of Pennsylvania and the sixth-most populous U.S. city with a 2018 census-estimated population of 1584138.[7] Since 1854 the city has been coterminous with Philadelphia County the most populous county in Pennsylvania and the urban core of the eighth-largest U.S. metropolitan statistical area with over 6 million residents as of 2017[update].[5] Philadelphia is also the economic and cultural anchor of the greater Delaware Valley located along the lower Delaware and Schuylkill Rivers within the Northeast megalopolis. The Delaware Valley's population of 7.2 million ranks it as the eighth-largest combined statistical area in the United States.[6]"""
San Antonio,Texas,"1,532,233",461.0 sq mi,29°28′21″N 98°31′30″W﻿ ,San Antonio International AirportSAT (Major/International),https://en.wikipedia.org/wiki/San_Antonio,"b'San Antonio (/sn ntonio/; from Spanish ""Saint Anthony"") officially the City of San Antonio is the seventh-most populous city in the United States and the second-most populous city in both Texas and the Southern United States with more than 1.5 million residents.[9] Founded as a Spanish mission and colonial outpost in 1718 the city became the first chartered civil settlement in present-day Texas in 1731. The area was still part of the Spanish Empire and later of the Mexican Republic. Today it is the state\'s oldest municipality.[10][11]'"
San Diego,California,"1,425,976",325.2 sq mi,32°48′55″N 117°08′06″W﻿ ,San Diego International Airport,https://en.wikipedia.org/wiki/San_Diego,"b'San Diego (/sn dieo/ Spanish: [san djeo]; Spanish for ""Saint Didacus"") is a city in the U.S. state of California. It is in San Diego County on the coast of the Pacific Ocean in Southern California approximately 120 miles (190 km) south of Los Angeles and immediately adjacent to the border with Mexico.'"
Dallas,Texas,"1,345,047",340.9 sq mi,32°47′36″N 96°45′59″W﻿ ,,https://en.wikipedia.org/wiki/Dallas,"b""Dallas (/dls/) officially the City of Dallas is a city in the U.S. state of Texas and the seat of Dallas County with portions extending into Collin Denton Kaufman and Rockwall counties. With an estimated 2018 population of 1345047[8] it is the ninth most-populous city in the U.S.[9] and third in Texas after Houston and San Antonio.[10] It is also the eighteenth most-populous city in North America as of 2015. Located in North Texas the city of Dallas is the main core of the largest metropolitan area in the Southern United States and the largest inland metropolitan area in the U.S. that lacks any navigable link to the sea.[11] It is the most populous city in the DallasFort Worth metroplex the fourth-largest metropolitan area in the country at 7.5 million people as of 2018.[12] The city's combined statistical area is the seventh-largest in the U.S. as of 2017 with 7846293 residents.[13]"""
San Jose,California,"1,030,119",177.5 sq mi,37°17′48″N 121°49′08″W﻿ ,San Jose International Airport,"https://en.wikipedia.org/wiki/San_Jose,_California","b""San Jose[A] (/sn hoze -se/; Spanish for 'Saint Joseph'; Spanish: [sa xose])[13] officially the City of San Jose[B] is the economic cultural and political center of Silicon Valley and the largest city in Northern California (both by population and area). With an estimated 2017 population of 1035317 it is the third-most populous city in California (after Los Angeles and San Diego) and the tenth-most populous in United States.[14] Located in the center of the Santa Clara Valley on the southern shore of San Francisco Bay San Jose covers an area of 179.97 square miles (466.1 km2). San Jose is the county seat of Santa Clara County the most affluent county in California and one of the most affluent counties in the United States.[15][16][17][18] San Jose is the most populous city in both the San Francisco Bay Area and the San Jose-San Francisco-Oakland Combined Statistical Area which contain 7.7 million and 8.7 million people respectively.[19][20][21]"""
